"Population by Mother tongue","Number"
"Bangla",""
"Female","25"
"Male","46"
"","71"
"Bhojpuri",""
"Female","396"
"Male","751"
"","1147"
"Bhujel",""
"Female","564"
"Male","529"
"","1093"
"Bote",""
"Female","403"
"Male","371"
"","774"
"Chepang",""
"Female","78"
"Male","81"
"","159"
"Darai",""
"Female","2039"
"Male","1661"
"","3700"
"Doteli",""
"Female","19"
"Male","14"
"","33"
"Dura",""
"Female","162"
"Male","147"
"","309"
"Gurung",""
"Female","15208"
"Male","11565"
"","26773"
"Hindi",""
"Female","139"
"Male","307"
"","446"
"Kham",""
"Female","93"
"Male","65"
"","158"
"Kumal",""
"Female","513"
"Male","384"
"","897"
"Lhopa",""
"Female","28"
"Male","28"
"","56"
"Limbu",""
"Female","4"
"Male","7"
"","11"
"Magar",""
"Female","38254"
"Male","28916"
"","67170"
"Maithili",""
"Female","129"
"Male","265"
"","394"
"Musalman",""
"Female","15"
"Male","7"
"","22"
"Nepali",""
"Female","110916"
"Male","86880"
"","197796"
"Newar",""
"Female","7247"
"Male","5837"
"","13084"
"Not Reported",""
"Female","486"
"Male","356"
"","842"
"Others",""
"Female","183"
"Male","170"
"","353"
"Rai",""
"Female","123"
"Male","174"
"","297"
"Sign Language",""
"Female","52"
"Male","36"
"","88"
"Sunuwar",""
"Female","4"
"Male","11"
"","15"
"Tamang",""
"Female","1125"
"Male","975"
"","2100"
"Thakali",""
"Female","37"
"Male","25"
"","62"
"Tharu",""
"Female","77"
"Male","118"
"","195"
"Urdu",""
"Female","1368"
"Male","1134"
"","2502"
