"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","2011"
"Christianity","76"
"Hindu","4609"
"Islam","0"
"Jainism","0"
"Kirat","6387"
"Prakriti","20"
"Sikhism","1"
"Undefined","7"
"Total","13111"
