"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","577"
"Cow Dung","59"
"Electricity","5"
"Kerosene","42"
"LP Gas","2637"
"Not stated","91"
"Others","6"
"Wood/Firewood","8601"
"Total","12018"
