"Population by Five Years Age Group","Number"
"0-4",""
"Female","2197"
"Male","2321"
"10-14",""
"Female","3622"
"Male","3786"
"15-19",""
"Female","3555"
"Male","3298"
"20-24",""
"Female","3361"
"Male","2310"
"25-29",""
"Female","2832"
"Male","1818"
"30-34",""
"Female","2355"
"Male","1470"
"35-39",""
"Female","1938"
"Male","1348"
"40-44",""
"Female","1687"
"Male","1249"
"45-49",""
"Female","1435"
"Male","1157"
"50-54",""
"Female","1170"
"Male","1058"
"55-59",""
"Female","933"
"Male","833"
"5-9",""
"Female","2881"
"Male","3063"
"60-64",""
"Female","861"
"Male","823"
"65-69",""
"Female","584"
"Male","629"
"70-74",""
"Female","396"
"Male","461"
"75+",""
"Female","482"
"Male","510"
