"Number of households by type of outer wall","Number"
"BambooWall","895"
"Cement Bonded Bricks/Stone Wall","7169"
"Mud Bonded Bricks/Stone Wall","2207"
"Not stated","110"
"Others","722"
"Unbaked Bricks","59"
"Wood/Planks","856"
"Total","12018"
