"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","114"
"Male","217"
"Chhetri",""
"Female","50"
"Male","76"
"Damai/Dholi",""
"Female","15"
"Male","14"
"Ghale",""
"Female","139"
"Male","144"
"Gharti/Bhujel",""
"Female","6"
"Male","5"
"Gurung",""
"Female","32"
"Male","34"
"Hajam/Thakur",""
"Female","6"
"Male","8"
"Hyolmo",""
"Female","52"
"Male","48"
"Kami",""
"Female","58"
"Male","51"
"Magar",""
"Female","40"
"Male","52"
"Newar",""
"Female","103"
"Male","126"
"Others",""
"Female","34"
"Male","63"
"Rai",""
"Female","5"
"Male","6"
"Sherpa",""
"Female","19"
"Male","24"
"Tamang",""
"Female","2773"
"Male","2829"
