"Number of households by type of outer wall","Number"
"BambooWall","22"
"Cement Bonded Bricks/Stone Wall","539"
"Mud Bonded Bricks/Stone Wall","1312"
"Not stated","11"
"Others","5"
"Unbaked Bricks","8"
"Wood/Planks","120"
"Total","2017"
