"Population by Single Year of Age","Number"
"0",""
"Female","479"
"Male","512"
"1",""
"Female","434"
"Male","447"
"10",""
"Female","955"
"Male","996"
"11",""
"Female","633"
"Male","706"
"12",""
"Female","873"
"Male","997"
"13",""
"Female","782"
"Male","790"
"14",""
"Female","875"
"Male","862"
"15",""
"Female","801"
"Male","804"
"16",""
"Female","746"
"Male","795"
"17",""
"Female","646"
"Male","633"
"18",""
"Female","843"
"Male","732"
"19",""
"Female","482"
"Male","409"
"2",""
"Female","531"
"Male","573"
"20",""
"Female","784"
"Male","568"
"21",""
"Female","416"
"Male","324"
"22",""
"Female","663"
"Male","488"
"23",""
"Female","475"
"Male","336"
"24",""
"Female","494"
"Male","363"
"25",""
"Female","857"
"Male","545"
"26",""
"Female","456"
"Male","343"
"27",""
"Female","433"
"Male","314"
"28",""
"Female","577"
"Male","463"
"29",""
"Female","216"
"Male","184"
"3",""
"Female","572"
"Male","575"
"30",""
"Female","930"
"Male","673"
"31",""
"Female","172"
"Male","179"
"32",""
"Female","421"
"Male","381"
"33",""
"Female","272"
"Male","219"
"34",""
"Female","254"
"Male","214"
"35",""
"Female","928"
"Male","764"
"36",""
"Female","293"
"Male","291"
"37",""
"Female","225"
"Male","195"
"38",""
"Female","396"
"Male","318"
"39",""
"Female","172"
"Male","145"
"4",""
"Female","633"
"Male","624"
"40",""
"Female","829"
"Male","878"
"41",""
"Female","158"
"Male","163"
"42",""
"Female","276"
"Male","286"
"43",""
"Female","194"
"Male","151"
"44",""
"Female","166"
"Male","161"
"45",""
"Female","677"
"Male","676"
"46",""
"Female","167"
"Male","186"
"47",""
"Female","165"
"Male","149"
"48",""
"Female","284"
"Male","244"
"49",""
"Female","125"
"Male","110"
"5",""
"Female","674"
"Male","719"
"50",""
"Female","633"
"Male","713"
"51",""
"Female","118"
"Male","122"
"52",""
"Female","188"
"Male","225"
"53",""
"Female","124"
"Male","128"
"54",""
"Female","93"
"Male","112"
"55",""
"Female","377"
"Male","391"
"56",""
"Female","128"
"Male","156"
"57",""
"Female","117"
"Male","119"
"58",""
"Female","134"
"Male","151"
"59",""
"Female","82"
"Male","91"
"6",""
"Female","661"
"Male","666"
"60",""
"Female","485"
"Male","515"
"61",""
"Female","104"
"Male","96"
"62",""
"Female","130"
"Male","110"
"63",""
"Female","84"
"Male","74"
"64",""
"Female","88"
"Male","74"
"65",""
"Female","272"
"Male","250"
"66",""
"Female","61"
"Male","62"
"67",""
"Female","81"
"Male","68"
"68",""
"Female","116"
"Male","125"
"69",""
"Female","44"
"Male","57"
"7",""
"Female","683"
"Male","733"
"70",""
"Female","273"
"Male","247"
"71",""
"Female","25"
"Male","42"
"72",""
"Female","55"
"Male","66"
"73",""
"Female","30"
"Male","27"
"74",""
"Female","24"
"Male","24"
"75",""
"Female","124"
"Male","90"
"76",""
"Female","40"
"Male","32"
"77",""
"Female","44"
"Male","32"
"78",""
"Female","45"
"Male","48"
"79",""
"Female","20"
"Male","16"
"8",""
"Female","773"
"Male","892"
"80",""
"Female","105"
"Male","74"
"81",""
"Female","13"
"Male","22"
"82",""
"Female","17"
"Male","28"
"83",""
"Female","8"
"Male","20"
"84",""
"Female","24"
"Male","10"
"85",""
"Female","105"
"Male","106"
"9",""
"Female","666"
"Male","701"
