"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","656"
"Cow Dung","170"
"Electricity","0"
"Kerosene","77"
"LP Gas","1401"
"Not stated","84"
"Others","6"
"Wood/Firewood","9844"
"Total","12238"
