"Population by Single Year of Age","Number"
"0",""
"Female","663"
"Male","739"
"1",""
"Female","543"
"Male","644"
"10",""
"Female","1245"
"Male","1390"
"11",""
"Female","1071"
"Male","1180"
"12",""
"Female","1356"
"Male","1439"
"13",""
"Female","1319"
"Male","1228"
"14",""
"Female","1239"
"Male","1281"
"15",""
"Female","1229"
"Male","1214"
"16",""
"Female","1248"
"Male","1272"
"17",""
"Female","1202"
"Male","1172"
"18",""
"Female","1397"
"Male","1342"
"19",""
"Female","1065"
"Male","880"
"2",""
"Female","671"
"Male","778"
"20",""
"Female","1304"
"Male","1073"
"21",""
"Female","1025"
"Male","815"
"22",""
"Female","1291"
"Male","896"
"23",""
"Female","1029"
"Male","617"
"24",""
"Female","1067"
"Male","701"
"25",""
"Female","1360"
"Male","860"
"26",""
"Female","1013"
"Male","633"
"27",""
"Female","970"
"Male","649"
"28",""
"Female","1292"
"Male","827"
"29",""
"Female","673"
"Male","466"
"3",""
"Female","697"
"Male","858"
"30",""
"Female","1630"
"Male","984"
"31",""
"Female","600"
"Male","436"
"32",""
"Female","976"
"Male","705"
"33",""
"Female","704"
"Male","457"
"34",""
"Female","714"
"Male","490"
"35",""
"Female","1367"
"Male","1063"
"36",""
"Female","683"
"Male","513"
"37",""
"Female","503"
"Male","435"
"38",""
"Female","756"
"Male","616"
"39",""
"Female","422"
"Male","345"
"4",""
"Female","748"
"Male","863"
"40",""
"Female","1278"
"Male","1115"
"41",""
"Female","348"
"Male","319"
"42",""
"Female","588"
"Male","520"
"43",""
"Female","408"
"Male","341"
"44",""
"Female","392"
"Male","273"
"45",""
"Female","829"
"Male","831"
"46",""
"Female","392"
"Male","328"
"47",""
"Female","314"
"Male","270"
"48",""
"Female","495"
"Male","469"
"49",""
"Female","275"
"Male","226"
"5",""
"Female","878"
"Male","1002"
"50",""
"Female","876"
"Male","777"
"51",""
"Female","269"
"Male","291"
"52",""
"Female","410"
"Male","354"
"53",""
"Female","278"
"Male","284"
"54",""
"Female","284"
"Male","218"
"55",""
"Female","600"
"Male","489"
"56",""
"Female","309"
"Male","268"
"57",""
"Female","268"
"Male","221"
"58",""
"Female","301"
"Male","312"
"59",""
"Female","186"
"Male","188"
"6",""
"Female","862"
"Male","965"
"60",""
"Female","668"
"Male","578"
"61",""
"Female","196"
"Male","207"
"62",""
"Female","232"
"Male","221"
"63",""
"Female","190"
"Male","171"
"64",""
"Female","147"
"Male","155"
"65",""
"Female","414"
"Male","397"
"66",""
"Female","131"
"Male","133"
"67",""
"Female","164"
"Male","168"
"68",""
"Female","227"
"Male","267"
"69",""
"Female","79"
"Male","96"
"7",""
"Female","990"
"Male","1095"
"70",""
"Female","415"
"Male","344"
"71",""
"Female","79"
"Male","89"
"72",""
"Female","140"
"Male","148"
"73",""
"Female","83"
"Male","96"
"74",""
"Female","54"
"Male","68"
"75",""
"Female","195"
"Male","164"
"76",""
"Female","61"
"Male","88"
"77",""
"Female","69"
"Male","77"
"78",""
"Female","88"
"Male","99"
"79",""
"Female","45"
"Male","46"
"8",""
"Female","1088"
"Male","1253"
"80",""
"Female","112"
"Male","108"
"81",""
"Female","31"
"Male","43"
"82",""
"Female","49"
"Male","52"
"83",""
"Female","35"
"Male","36"
"84",""
"Female","40"
"Male","38"
"85",""
"Female","173"
"Male","170"
"9",""
"Female","959"
"Male","1043"
