"Number of households by type of outer wall","Number"
"BambooWall","798"
"Cement Bonded Bricks/Stone Wall","15849"
"Mud Bonded Bricks/Stone Wall","3278"
"Not stated","372"
"Others","1022"
"Unbaked Bricks","205"
"Wood/Planks","433"
"Total","21957"
