"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1631"
"Cow Dung","808"
"Electricity","7"
"Kerosene","168"
"LP Gas","10877"
"Not stated","91"
"Others","94"
"Wood/Firewood","8281"
"Total","21957"
