"Number of households by type of outer wall","Number"
"BambooWall","3336"
"Cement Bonded Bricks/Stone Wall","562"
"Mud Bonded Bricks/Stone Wall","61"
"Not Stated about Wall","47"
"Other Type Wall","18"
"Unbaked Bricks","27"
"Wood/Planks","122"
"Total","4173"
