"Population by Mother tongue","Number"
"Avadhi",""
"Female","8"
"Male","3"
"Bhojpuri",""
"Female","16"
"Male","33"
"Hindi",""
"Female","8"
"Male","27"
"Magar",""
"Female","11"
"Male","8"
"Maithili",""
"Female","32"
"Male","46"
"Nepali",""
"Female","17131"
"Male","14837"
"Newar",""
"Female","3406"
"Male","3162"
"Not Reported",""
"Female","69"
"Male","56"
"Others",""
"Female","17"
"Male","24"
"Rai",""
"Female","8"
"Male","9"
"Tamang",""
"Female","4051"
"Male","3568"
"Thami",""
"Female","14"
"Male","20"
"Tharu",""
"Female","9"
"Male","6"
"Urdu",""
"Female","7"
"Male","9"
