"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","7"
"Cow Dung","12"
"Electricity Fuel","2"
"KeroseneFuel","6"
"LP Gas","5"
"Not Sated about Fuel","32"
"OthersFuel","2"
"Wood/FireWood","5924"
"Total","5990"
