"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","160"
"Male","134"
"Chhetri",""
"Female","3219"
"Male","2827"
"Damai/Dholi",""
"Female","170"
"Male","156"
"Gharti/Bhujel",""
"Female","78"
"Male","86"
"Gurung",""
"Female","263"
"Male","261"
"Jirel",""
"Female","325"
"Male","310"
"Kami",""
"Female","517"
"Male","494"
"Magar",""
"Female","151"
"Male","171"
"Newar",""
"Female","406"
"Male","347"
"Others",""
"Female","35"
"Male","34"
"Sarki",""
"Female","113"
"Male","91"
"Sherpa",""
"Female","1787"
"Male","1661"
"Tamang",""
"Female","1572"
"Male","1495"
"Terai Others",""
"Female","12"
"Male","7"
"Thakuri",""
"Female","23"
"Male","29"
"Thami",""
"Female","62"
"Male","66"
