"Population by Five Years Age Group","Number"
"0-4",""
"Female","782"
"Male","809"
"10-14",""
"Female","1176"
"Male","1233"
"15-19",""
"Female","1008"
"Male","916"
"20-24",""
"Female","708"
"Male","552"
"25-29",""
"Female","560"
"Male","446"
"30-34",""
"Female","517"
"Male","375"
"35-39",""
"Female","467"
"Male","434"
"40-44",""
"Female","479"
"Male","368"
"45-49",""
"Female","412"
"Male","387"
"50-54",""
"Female","425"
"Male","440"
"55-59",""
"Female","326"
"Male","339"
"5-9",""
"Female","991"
"Male","1003"
"60-64",""
"Female","335"
"Male","264"
"65-69",""
"Female","264"
"Male","255"
"70-74",""
"Female","210"
"Male","181"
"75+",""
"Female","233"
"Male","245"
