"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","4174"
"Mud Roof","2767"
"Not Sated Roof","442"
"Other Type of Roof","468"
"RCC Roof","956"
"Thatch/Straw Roof","14083"
"Tile/Slate Roof","25955"
"Wood/Planks Roof","70"
"Total","48915"
