"Population by Caste Ethinicity","Number"
"Badi",""
"Female","403"
"Male","385"
"","788"
"Baraee",""
"Female","8"
"Male","12"
"","20"
"Brahman - Hill",""
"Female","14592"
"Male","13815"
"","28407"
"Chhetri",""
"Female","47048"
"Male","43859"
"","90907"
"Dalit Others",""
"Female","242"
"Male","217"
"","459"
"Damai/Dholi",""
"Female","6683"
"Male","6280"
"","12963"
"Gaine",""
"Female","18"
"Male","23"
"","41"
"Gharti/Bhujel",""
"Female","11"
"Male","5"
"","16"
"Gurung",""
"Female","1729"
"Male","1604"
"","3333"
"Kami",""
"Female","24859"
"Male","23550"
"","48409"
"Kumal",""
"Female","141"
"Male","141"
"","282"
"Lohar",""
"Female","16"
"Male","25"
"","41"
"Magar",""
"Female","12392"
"Male","11717"
"","24109"
"Majhi",""
"Female","39"
"Male","43"
"","82"
"Marwadi",""
"Female","8"
"Male","3"
"","11"
"Musalman",""
"Female","219"
"Male","221"
"","440"
"Newar",""
"Female","384"
"Male","375"
"","759"
"Others",""
"Female","192"
"Male","173"
"","365"
"Rai",""
"Female","10"
"Male","10"
"","20"
"Sanyasi/Dasnami",""
"Female","2093"
"Male","1921"
"","4014"
"Sarki",""
"Female","4399"
"Male","3770"
"","8169"
"Tamang",""
"Female","156"
"Male","165"
"","321"
"Teli",""
"Female","12"
"Male","10"
"","22"
"Terai Others",""
"Female","34"
"Male","32"
"","66"
"Thakuri",""
"Female","19033"
"Male","17709"
"","36742"
"Tharu",""
"Female","29"
"Male","26"
"","55"
"Yadav",""
"Female","4"
"Male","10"
"","14"
