"Agricultural land use area","Hectare"
"Area under arable land","18978.00"
"Area under meadows and pasture","593.00"
"Area under permanent crops","702.00"
"Area under Temporary crops","18780.00"
"Area under temporary fallow","123.00"
"Area under temporary meadows","74.00"
"Other land","994.00"
"Ponds","0.00"
"Woodland and forest","62.00"
"Total","40306.00"
