"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","5100"
"Christianity","1201"
"Hindu","254971"
"Islam","459"
"Jainism","0"
"Kirat","0"
"Prakriti","8"
"Sikhism","0"
"Undefined","31"
"Total","261770"
