"Population by Mother tongue","Number"
"Bahing",""
"Female","18"
"Male","24"
"Bantawa",""
"Female","1659"
"Male","1597"
"Bhujel",""
"Female","12"
"Male","10"
"Chamling",""
"Female","107"
"Male","101"
"Gurung",""
"Female","1412"
"Male","1235"
"Khaling",""
"Female","6"
"Male","8"
"Kulung",""
"Female","7"
"Male","6"
"Limbu",""
"Female","1012"
"Male","883"
"Magar",""
"Female","251"
"Male","237"
"Maithili",""
"Female","11"
"Male","21"
"Nachhiring",""
"Female","42"
"Male","49"
"Nepali",""
"Female","1884"
"Male","1755"
"Newar",""
"Female","18"
"Male","19"
"Not Reported",""
"Female","12"
"Male","6"
"Others",""
"Female","60"
"Male","55"
"Rai",""
"Female","1109"
"Male","1141"
"Sampang",""
"Female","10"
"Male","7"
"Sherpa",""
"Female","324"
"Male","337"
"Sunuwar",""
"Female","143"
"Male","115"
"Tamang",""
"Female","73"
"Male","70"
"Thulung",""
"Female","105"
"Male","114"
