"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","21"
"Male","20"
"","41"
"Darai",""
"Female","149"
"Male","109"
"","258"
"Gurung",""
"Female","62"
"Male","52"
"","114"
"Magar",""
"Female","5389"
"Male","4342"
"","9731"
"Nepali",""
"Female","2846"
"Male","2233"
"","5079"
"Newar",""
"Female","233"
"Male","184"
"","417"
"Not Reported",""
"Female","14"
"Male","12"
"","26"
"Others",""
"Female","7"
"Male","11"
"","18"
"Sign Language",""
"Female","6"
"Male","9"
"","15"
"Tharu",""
"Female","7"
"Male","7"
"","14"
"Urdu",""
"Female","10"
"Male","11"
"","21"
