"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","282"
"Male","239"
"","521"
"Chhetri",""
"Female","814"
"Male","713"
"","1527"
"Dalit Others",""
"Female","7"
"Male","7"
"","14"
"Damai/Dholi",""
"Female","244"
"Male","211"
"","455"
"Gharti/Bhujel",""
"Female","7"
"Male","8"
"","15"
"Gurung",""
"Female","95"
"Male","76"
"","171"
"Kami",""
"Female","257"
"Male","209"
"","466"
"Magar",""
"Female","12"
"Male","11"
"","23"
"Newar",""
"Female","1786"
"Male","1594"
"","3380"
"Others",""
"Female","22"
"Male","35"
"","57"
"Pahari",""
"Female","35"
"Male","42"
"","77"
"Sanyasi/Dasnami",""
"Female","9"
"Male","3"
"","12"
"Sarki",""
"Female","16"
"Male","18"
"","34"
"Tamang",""
"Female","4446"
"Male","3935"
"","8381"
