"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","0"
"Cow Dung","0"
"Electricity Fuel","2"
"KeroseneFuel","8"
"LP Gas","67"
"Not Sated about Fuel","10"
"OthersFuel","1"
"Wood/FireWood","3592"
"Total","3680"
