"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","69"
"Cow Dung","4"
"Electricity Fuel","1"
"KeroseneFuel","13"
"LP Gas","5"
"Not Sated about Fuel","27"
"OthersFuel","0"
"Wood/FireWood","3521"
"Total","3640"
