"Population by Mother tongue","Number"
"Achhami",""
"Female","532"
"Male","527"
"","1059"
"Dailekhi",""
"Female","125"
"Male","112"
"","237"
"Doteli",""
"Female","222"
"Male","196"
"","418"
"Jumli",""
"Female","38"
"Male","31"
"","69"
"Kham",""
"Female","173"
"Male","179"
"","352"
"Magar",""
"Female","1576"
"Male","1696"
"","3272"
"Maithili",""
"Female","24"
"Male","27"
"","51"
"Nepali",""
"Female","8372"
"Male","8067"
"","16439"
"Others",""
"Female","11"
"Male","13"
"","24"
"Raji",""
"Female","63"
"Male","57"
"","120"
"Tharu",""
"Female","3"
"Male","9"
"","12"
