"Population by Mother tongue","Number"
"Chamling",""
"Female","507"
"Male","450"
"","957"
"Magar",""
"Female","4386"
"Male","3849"
"","8235"
"Maithili",""
"Female","22"
"Male","33"
"","55"
"Nepali",""
"Female","7720"
"Male","7024"
"","14744"
"Newar",""
"Female","120"
"Male","108"
"","228"
"Not Reported",""
"Female","57"
"Male","63"
"","120"
"Others",""
"Female","29"
"Male","26"
"","55"
"Rai",""
"Female","617"
"Male","556"
"","1173"
"Sherpa",""
"Female","30"
"Male","17"
"","47"
"Sunuwar",""
"Female","26"
"Male","28"
"","54"
"Tamang",""
"Female","2691"
"Male","2327"
"","5018"
"Wambule",""
"Female","25"
"Male","20"
"","45"
