"Population by Religion","Number"
"Bahai","0"
"Bon","2"
"Buddism","8763"
"Christianity","1091"
"Hindu","19659"
"Islam","21"
"Jainism","0"
"Kirat","1114"
"Prakriti","4"
"Sikhism","1"
"Undefined","125"
"Total","30780"
