"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","2"
"Cow Dung","3"
"Electricity Fuel","0"
"KeroseneFuel","4"
"LP Gas","0"
"Not Sated about Fuel","24"
"OthersFuel","0"
"Wood/FireWood","3739"
"Total","3772"
