"Number of households by type of outer wall","Number"
"BambooWall","1384"
"Cement Bonded Bricks/Stone Wall","441"
"Mud Bonded Bricks/Stone Wall","358"
"Not Stated about Wall","26"
"Other Type Wall","68"
"Unbaked Bricks","11"
"Wood/Planks","1959"
"Total","4247"
