"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","42"
"Cow Dung","7"
"Electricity Fuel","1"
"KeroseneFuel","38"
"LP Gas","44"
"Not Sated about Fuel","19"
"OthersFuel","1"
"Wood/FireWood","4095"
"Total","4247"
