"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","230"
"Male","268"
"","498"
"Gurung",""
"Female","32"
"Male","38"
"","70"
"Magar",""
"Female","79"
"Male","56"
"","135"
"Maithili",""
"Female","10"
"Male","12"
"","22"
"Nepali",""
"Female","7237"
"Male","6675"
"","13912"
"Newar",""
"Female","117"
"Male","106"
"","223"
"Not Reported",""
"Female","16"
"Male","13"
"","29"
"Others",""
"Female","18"
"Male","18"
"","36"
"Tamang",""
"Female","2708"
"Male","2548"
"","5256"
"Tharu",""
"Female","118"
"Male","98"
"","216"
