"Population by Five Years Age Group","Number"
"0-4",""
"Female","771"
"Male","691"
"10-14",""
"Female","786"
"Male","775"
"15-19",""
"Female","656"
"Male","620"
"20-24",""
"Female","406"
"Male","413"
"25-29",""
"Female","414"
"Male","351"
"30-34",""
"Female","316"
"Male","272"
"35-39",""
"Female","295"
"Male","266"
"40-44",""
"Female","291"
"Male","276"
"45-49",""
"Female","268"
"Male","245"
"50-54",""
"Female","195"
"Male","223"
"55-59",""
"Female","171"
"Male","204"
"5-9",""
"Female","922"
"Male","900"
"60-64",""
"Female","135"
"Male","160"
"65-69",""
"Female","105"
"Male","101"
"70-74",""
"Female","50"
"Male","57"
"75+",""
"Female","52"
"Male","65"
