"Population by Five Years Age Group","Number"
"0-4",""
"Female","1407"
"Male","1365"
"10-14",""
"Female","1510"
"Male","1540"
"15-19",""
"Female","1312"
"Male","1226"
"20-24",""
"Female","953"
"Male","706"
"25-29",""
"Female","771"
"Male","513"
"30-34",""
"Female","559"
"Male","441"
"35-39",""
"Female","571"
"Male","455"
"40-44",""
"Female","512"
"Male","444"
"45-49",""
"Female","408"
"Male","430"
"50-54",""
"Female","315"
"Male","401"
"55-59",""
"Female","253"
"Male","277"
"5-9",""
"Female","1548"
"Male","1568"
"60-64",""
"Female","276"
"Male","275"
"65-69",""
"Female","169"
"Male","174"
"70-74",""
"Female","97"
"Male","103"
"75+",""
"Female","96"
"Male","127"
