"Industries Types","Number"
"Accommodation and food","457"
"Administrative and support service activity","23"
"Agriculture, forestry and fishing","284"
"Art, entertainment and recreation","105"
"Construction","22"
"Education","395"
"Electricty gas and water","48"
"Financial intermediation and insurance","131"
"Health and social work","401"
"Information and communications","3"
"Manufacturing","442"
"Mining and quarrying","1"
"Other service activities","601"
"Professional,scientific and techniqual activity","34"
"Real state, renting and business activities","0"
"Transport and storage","59"
"Water supply, wet management","38"
"Wholesale and retail trade","1606"
"Total","4650"
