"Industries Employment","Number"
"Accommodation,  food",""
"Female","511"
"Male","404"
"Administrative, support service",""
"Female","3"
"Male","45"
"Agriculture, forestry and  fishing",""
"Female","232"
"Male","315"
"Arts, entertainment, recreation",""
"Female","86"
"Male","260"
"Construction",""
"Female","5"
"Male","203"
"Education",""
"Female","1196"
"Male","1757"
"Electricity, gas and water",""
"Female","13"
"Male","196"
"Financial intermediation and insurance",""
"Female","124"
"Male","183"
"Health, social work",""
"Female","710"
"Male","404"
"Information and communication",""
"Female","4"
"Male","21"
"Manufacturing",""
"Female","221"
"Male","563"
"Other service activities",""
"Female","538"
"Male","826"
"Professional, scientific, techniqual activity",""
"Female","5"
"Male","46"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","52"
"Male","191"
"Water supply, wet management",""
"Female","27"
"Male","94"
"Wholesale, retail trade",""
"Female","1145"
"Male","1190"
