"Number of households by type of outer wall","Number"
"BambooWall","6436"
"Cement Bonded Bricks/Stone Wall","1198"
"Mud Bonded Bricks/Stone Wall","128"
"Not Stated about Wall","30"
"Other Type Wall","40"
"Unbaked Bricks","2"
"Wood/Planks","86"
"Total","7920"
