"Population by Mother tongue","Number"
"Bangla",""
"Female","5"
"Male","6"
"","11"
"Bhojpuri",""
"Female","5365"
"Male","5574"
"","10939"
"Limbu",""
"Female","10"
"Male","4"
"","14"
"Maithili",""
"Female","451"
"Male","450"
"","901"
"Nepali",""
"Female","282"
"Male","277"
"","559"
"Not Reported",""
"Female","4"
"Male","8"
"","12"
"Others",""
"Female","19"
"Male","14"
"","33"
"Tharu",""
"Female","4884"
"Male","4634"
"","9518"
"Uranw/Urau",""
"Female","35"
"Male","39"
"","74"
"Urdu",""
"Female","343"
"Male","361"
"","704"
