"Gross value added by industry (at current price)","Rs (,000)"
"Agriculture and forestry","85191400"
"Construction","32494400"
"Education","20707400"
"Electricty gas and water","7968576"
"Financial intermediation","14894700"
"Fishing","88638"
"Health and social work","9209000"
"Hotels and restaurants","11014500"
"Manufacturing","9141600"
"Mining and quarrying","2268705"
"Other community, social and personal service activities","22038900"
"Public administration and defence","10022300"
"Real estate, renting and business activities","20675900"
"Transport, storage and communications","16394400"
"Wholesale and retail trade","22760300"
"Total","284870719"
