"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","8"
"Male","10"
"Brahman - Hill",""
"Female","781"
"Male","709"
"Chhetri",""
"Female","1034"
"Male","817"
"Damai/Dholi",""
"Female","202"
"Male","161"
"Gharti/Bhujel",""
"Female","221"
"Male","204"
"Gurung",""
"Female","275"
"Male","217"
"Kami",""
"Female","414"
"Male","313"
"Magar",""
"Female","1165"
"Male","1013"
"Majhi",""
"Female","223"
"Male","200"
"Newar",""
"Female","916"
"Male","824"
"Others",""
"Female","21"
"Male","16"
"Rai",""
"Female","986"
"Male","848"
"Sanyasi/Dasnami",""
"Female","16"
"Male","17"
"Sarki",""
"Female","631"
"Male","564"
"Sherpa",""
"Female","43"
"Male","29"
"Sunuwar",""
"Female","62"
"Male","63"
"Tamang",""
"Female","186"
"Male","165"
"Thulung",""
"Female","7"
"Male","8"
