"Population by Five Years Age Group","Number"
"0-4",""
"Female","673"
"Male","665"
"10-14",""
"Female","971"
"Male","970"
"15-19",""
"Female","872"
"Male","827"
"20-24",""
"Female","623"
"Male","330"
"25-29",""
"Female","474"
"Male","247"
"30-34",""
"Female","376"
"Male","244"
"35-39",""
"Female","351"
"Male","215"
"40-44",""
"Female","390"
"Male","290"
"45-49",""
"Female","334"
"Male","288"
"50-54",""
"Female","317"
"Male","287"
"55-59",""
"Female","228"
"Male","225"
"5-9",""
"Female","863"
"Male","851"
"60-64",""
"Female","263"
"Male","234"
"65-69",""
"Female","160"
"Male","150"
"70-74",""
"Female","116"
"Male","166"
"75+",""
"Female","180"
"Male","189"
