"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","7"
"Male","6"
"Brahman - Hill",""
"Female","475"
"Male","396"
"Chhetri",""
"Female","2501"
"Male","1984"
"Damai/Dholi",""
"Female","247"
"Male","209"
"Gharti/Bhujel",""
"Female","190"
"Male","166"
"Gurung",""
"Female","12"
"Male","16"
"Kahar",""
"Female","13"
"Male","10"
"Kami",""
"Female","1012"
"Male","720"
"Kumal",""
"Female","41"
"Male","48"
"Magar",""
"Female","3439"
"Male","2633"
"Newar",""
"Female","12"
"Male","11"
"Others",""
"Female","12"
"Male","12"
"Rai",""
"Female","9"
"Male","5"
"Sanyasi/Dasnami",""
"Female","164"
"Male","112"
"Sarki",""
"Female","205"
"Male","130"
"Terai Others",""
"Female","4"
"Male","7"
"Thakuri",""
"Female","113"
"Male","87"
"Tharu",""
"Female","25"
"Male","25"
