"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","42"
"Male","40"
"","82"
"Chhetri",""
"Female","2074"
"Male","1988"
"","4062"
"Damai/Dholi",""
"Female","507"
"Male","511"
"","1018"
"Dhanuk",""
"Female","12"
"Male","5"
"","17"
"Kami",""
"Female","243"
"Male","251"
"","494"
"Lohar",""
"Female","198"
"Male","173"
"","371"
"Others",""
"Female","6"
"Male","14"
"","20"
"Sanyasi/Dasnami",""
"Female","281"
"Male","237"
"","518"
"Sarki",""
"Female","762"
"Male","807"
"","1569"
"Thakuri",""
"Female","655"
"Male","612"
"","1267"
"Tharu",""
"Female","1"
"Male","13"
"","14"
