"Population by Five Years Age Group","Number"
"0-4",""
"Female","1417"
"Male","1363"
"10-14",""
"Female","2146"
"Male","2144"
"15-19",""
"Female","2109"
"Male","1579"
"20-24",""
"Female","1704"
"Male","790"
"25-29",""
"Female","1496"
"Male","603"
"30-34",""
"Female","1164"
"Male","503"
"35-39",""
"Female","995"
"Male","458"
"40-44",""
"Female","928"
"Male","552"
"45-49",""
"Female","864"
"Male","558"
"50-54",""
"Female","778"
"Male","645"
"55-59",""
"Female","659"
"Male","633"
"5-9",""
"Female","1887"
"Male","1916"
"60-64",""
"Female","607"
"Male","535"
"65-69",""
"Female","461"
"Male","386"
"70-74",""
"Female","342"
"Male","290"
"75+",""
"Female","445"
"Male","405"
