"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","497"
"Cow Dung","6"
"Electricity","9"
"Kerosene","25"
"LP Gas","1221"
"Not stated","91"
"Others","3"
"Wood/Firewood","5636"
"Total","7488"
