"Number of households by type of outer wall","Number"
"BambooWall","89"
"Cement Bonded Bricks/Stone Wall","1666"
"Mud Bonded Bricks/Stone Wall","5603"
"Not stated","94"
"Others","5"
"Unbaked Bricks","4"
"Wood/Planks","27"
"Total","7488"
