"Population by Single Year of Age","Number"
"0",""
"Female","467"
"Male","493"
"1",""
"Female","501"
"Male","507"
"10",""
"Female","795"
"Male","900"
"11",""
"Female","768"
"Male","804"
"12",""
"Female","826"
"Male","944"
"13",""
"Female","870"
"Male","816"
"14",""
"Female","888"
"Male","813"
"15",""
"Female","869"
"Male","776"
"16",""
"Female","817"
"Male","706"
"17",""
"Female","742"
"Male","561"
"18",""
"Female","757"
"Male","601"
"19",""
"Female","619"
"Male","369"
"2",""
"Female","463"
"Male","460"
"20",""
"Female","677"
"Male","382"
"21",""
"Female","670"
"Male","327"
"22",""
"Female","671"
"Male","316"
"23",""
"Female","559"
"Male","249"
"24",""
"Female","530"
"Male","293"
"25",""
"Female","664"
"Male","341"
"26",""
"Female","570"
"Male","308"
"27",""
"Female","509"
"Male","281"
"28",""
"Female","595"
"Male","345"
"29",""
"Female","329"
"Male","210"
"3",""
"Female","454"
"Male","534"
"30",""
"Female","774"
"Male","423"
"31",""
"Female","309"
"Male","187"
"32",""
"Female","417"
"Male","280"
"33",""
"Female","312"
"Male","204"
"34",""
"Female","269"
"Male","208"
"35",""
"Female","698"
"Male","437"
"36",""
"Female","348"
"Male","229"
"37",""
"Female","231"
"Male","167"
"38",""
"Female","303"
"Male","236"
"39",""
"Female","231"
"Male","163"
"4",""
"Female","595"
"Male","654"
"40",""
"Female","757"
"Male","468"
"41",""
"Female","219"
"Male","165"
"42",""
"Female","322"
"Male","270"
"43",""
"Female","219"
"Male","204"
"44",""
"Female","223"
"Male","180"
"45",""
"Female","513"
"Male","433"
"46",""
"Female","208"
"Male","201"
"47",""
"Female","204"
"Male","166"
"48",""
"Female","282"
"Male","252"
"49",""
"Female","218"
"Male","190"
"5",""
"Female","650"
"Male","692"
"50",""
"Female","570"
"Male","482"
"51",""
"Female","175"
"Male","168"
"52",""
"Female","227"
"Male","271"
"53",""
"Female","164"
"Male","181"
"54",""
"Female","145"
"Male","141"
"55",""
"Female","354"
"Male","293"
"56",""
"Female","174"
"Male","181"
"57",""
"Female","151"
"Male","151"
"58",""
"Female","183"
"Male","201"
"59",""
"Female","142"
"Male","134"
"6",""
"Female","595"
"Male","681"
"60",""
"Female","407"
"Male","342"
"61",""
"Female","158"
"Male","133"
"62",""
"Female","163"
"Male","149"
"63",""
"Female","136"
"Male","100"
"64",""
"Female","118"
"Male","93"
"65",""
"Female","278"
"Male","261"
"66",""
"Female","106"
"Male","108"
"67",""
"Female","134"
"Male","145"
"68",""
"Female","154"
"Male","177"
"69",""
"Female","64"
"Male","95"
"7",""
"Female","722"
"Male","713"
"70",""
"Female","237"
"Male","225"
"71",""
"Female","78"
"Male","82"
"72",""
"Female","117"
"Male","121"
"73",""
"Female","72"
"Male","95"
"74",""
"Female","58"
"Male","85"
"75",""
"Female","160"
"Male","129"
"76",""
"Female","67"
"Male","64"
"77",""
"Female","75"
"Male","78"
"78",""
"Female","67"
"Male","96"
"79",""
"Female","41"
"Male","56"
"8",""
"Female","694"
"Male","718"
"80",""
"Female","107"
"Male","91"
"81",""
"Female","29"
"Male","38"
"82",""
"Female","39"
"Male","49"
"83",""
"Female","30"
"Male","36"
"84",""
"Female","42"
"Male","38"
"85",""
"Female","162"
"Male","147"
"9",""
"Female","718"
"Male","758"
