"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1894"
"Male","1680"
"Chhetri",""
"Female","4395"
"Male","3743"
"Damai/Dholi",""
"Female","329"
"Male","237"
"Gharti/Bhujel",""
"Female","221"
"Male","207"
"Gurung",""
"Female","28"
"Male","18"
"Kami",""
"Female","600"
"Male","523"
"Magar",""
"Female","84"
"Male","72"
"Majhi",""
"Female","147"
"Male","125"
"Newar",""
"Female","474"
"Male","407"
"Others",""
"Female","27"
"Male","27"
"Rai",""
"Female","6"
"Male","7"
"Sanyasi/Dasnami",""
"Female","110"
"Male","111"
"Sarki",""
"Female","647"
"Male","605"
"Sherpa",""
"Female","130"
"Male","127"
"Sunuwar",""
"Female","555"
"Male","479"
"Tamang",""
"Female","419"
"Male","401"
"Thami",""
"Female","7"
"Male","7"
