"Population by Five Years Age Group","Number"
"0-4",""
"Female","1273"
"Male","1336"
"10-14",""
"Female","1094"
"Male","1066"
"15-19",""
"Female","762"
"Male","806"
"20-24",""
"Female","664"
"Male","640"
"25-29",""
"Female","451"
"Male","520"
"30-34",""
"Female","369"
"Male","343"
"35-39",""
"Female","372"
"Male","346"
"40-44",""
"Female","266"
"Male","290"
"45-49",""
"Female","299"
"Male","316"
"50-54",""
"Female","232"
"Male","249"
"55-59",""
"Female","195"
"Male","254"
"5-9",""
"Female","1191"
"Male","1197"
"60-64",""
"Female","207"
"Male","207"
"65-69",""
"Female","74"
"Male","95"
"70-74",""
"Female","60"
"Male","64"
"75+",""
"Female","31"
"Male","34"
