"Population by Five Years Age Group","Number"
"0-4",""
"Female","1441"
"Male","1464"
"10-14",""
"Female","1448"
"Male","1635"
"15-19",""
"Female","843"
"Male","1146"
"20-24",""
"Female","855"
"Male","842"
"25-29",""
"Female","831"
"Male","838"
"30-34",""
"Female","768"
"Male","685"
"35-39",""
"Female","649"
"Male","751"
"40-44",""
"Female","585"
"Male","566"
"45-49",""
"Female","446"
"Male","549"
"50-54",""
"Female","303"
"Male","352"
"55-59",""
"Female","288"
"Male","308"
"5-9",""
"Female","1732"
"Male","1893"
"60-64",""
"Female","329"
"Male","315"
"65-69",""
"Female","257"
"Male","310"
"70-74",""
"Female","201"
"Male","236"
"75+",""
"Female","139"
"Male","218"
