"Population by Caste/Ethinicity","Number"
"#VALUE!",""
"Female","47"
"Male","37"
"Brahman - Hill",""
"Female","85"
"Male","84"
"Chhetri",""
"Female","446"
"Male","395"
"Damai/Dholi",""
"Female","79"
"Male","77"
"Gharti/Bhujel",""
"Female","82"
"Male","84"
"Kami",""
"Female","682"
"Male","600"
"Magar",""
"Female","498"
"Male","491"
"Newar",""
"Female","36"
"Male","26"
"Others",""
"Female","28"
"Male","33"
"Rai",""
"Female","3741"
"Male","3592"
"Sherpa",""
"Female","777"
"Male","759"
"Tamang",""
"Female","377"
"Male","341"
"Tharu",""
"Female","7"
"Male","10"
