"Population by Mother tongue","Number"
"Bhujel",""
"Female","30"
"Male","30"
"Khaling",""
"Female","3672"
"Male","3536"
"Magar",""
"Female","467"
"Male","468"
"Maithili",""
"Female","4"
"Male","21"
"Nachhiring",""
"Female","15"
"Male","4"
"Nepali",""
"Female","1422"
"Male","1272"
"Newar",""
"Female","7"
"Male","4"
"Others",""
"Female","24"
"Male","25"
"Rai",""
"Female","30"
"Male","40"
"Sherpa",""
"Female","791"
"Male","768"
"Tamang",""
"Female","363"
"Male","330"
"Tharu",""
"Female","7"
"Male","7"
"Thulung",""
"Female","53"
"Male","24"
