"Number of households by type of outer wall","Number"
"BambooWall","289"
"Cement Bonded Bricks/Stone Wall","690"
"Mud Bonded Bricks/Stone Wall","3761"
"Not Stated about Wall","142"
"Other Type Wall","333"
"Unbaked Bricks","128"
"Wood/Planks","70"
"Total","5413"
