"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","31"
"Cow Dung","4740"
"Electricity Fuel","0"
"KeroseneFuel","70"
"LP Gas","96"
"Not Sated about Fuel","69"
"OthersFuel","9"
"Wood/FireWood","398"
"Total","5413"
