"Population by Caste Ethinicity","Number"
"Badi",""
"Female","9"
"Male","5"
"","14"
"Brahman - Hill",""
"Female","3918"
"Male","3126"
"","7044"
"Chhetri",""
"Female","376"
"Male","296"
"","672"
"Damai/Dholi",""
"Female","374"
"Male","311"
"","685"
"Gharti/Bhujel",""
"Female","28"
"Male","25"
"","53"
"Gurung",""
"Female","326"
"Male","280"
"","606"
"Kami",""
"Female","841"
"Male","649"
"","1490"
"Magar",""
"Female","1932"
"Male","1467"
"","3399"
"Musalman",""
"Female","27"
"Male","22"
"","49"
"Newar",""
"Female","131"
"Male","117"
"","248"
"Others",""
"Female","19"
"Male","9"
"","28"
"Sanyasi/Dasnami",""
"Female","30"
"Male","22"
"","52"
"Sarki",""
"Female","241"
"Male","195"
"","436"
"Thakuri",""
"Female","326"
"Male","267"
"","593"
"Tharu",""
"Female","8"
"Male","4"
"","12"
