"Population by Five Years Age Group","Number"
"0-4",""
"Female","132"
"Male","113"
"10-14",""
"Female","172"
"Male","194"
"15-19",""
"Female","142"
"Male","154"
"20-24",""
"Female","98"
"Male","102"
"25-29",""
"Female","111"
"Male","140"
"30-34",""
"Female","116"
"Male","131"
"35-39",""
"Female","106"
"Male","128"
"40-44",""
"Female","86"
"Male","122"
"45-49",""
"Female","56"
"Male","89"
"50-54",""
"Female","64"
"Male","71"
"55-59",""
"Female","53"
"Male","67"
"5-9",""
"Female","137"
"Male","161"
"60-64",""
"Female","57"
"Male","51"
"65-69",""
"Female","34"
"Male","42"
"70-74",""
"Female","40"
"Male","43"
"75+",""
"Female","46"
"Male","35"
