"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","0"
"Cow Dung","1"
"Electricity","9"
"Kerosene","4"
"LP Gas","61"
"Not stated","5"
"Others","0"
"Wood/Firewood","690"
"Total","770"
