"Population by Caste Ethinicity","Number"
"Badi",""
"Female","22"
"Male","16"
"","38"
"Brahman - Hill",""
"Female","468"
"Male","456"
"","924"
"Chhetri",""
"Female","6118"
"Male","5052"
"","11170"
"Damai/Dholi",""
"Female","210"
"Male","175"
"","385"
"Kami",""
"Female","1404"
"Male","1185"
"","2589"
"Magar",""
"Female","1771"
"Male","1448"
"","3219"
"Musalman",""
"Female","52"
"Male","36"
"","88"
"Newar",""
"Female","29"
"Male","27"
"","56"
"Others",""
"Female","14"
"Male","8"
"","22"
"Sanyasi/Dasnami",""
"Female","448"
"Male","361"
"","809"
"Sarki",""
"Female","497"
"Male","421"
"","918"
"Thakuri",""
"Female","651"
"Male","572"
"","1223"
"Tharu",""
"Female","6"
"Male","5"
"","11"
