"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","21"
"Male","19"
"Brahman - Hill",""
"Female","2979"
"Male","2510"
"Chhetri",""
"Female","3177"
"Male","2571"
"Dalit Others",""
"Female","122"
"Male","121"
"Damai/Dholi",""
"Female","44"
"Male","56"
"Kami",""
"Female","378"
"Male","337"
"Lohar",""
"Female","77"
"Male","71"
"Others",""
"Female","15"
"Male","6"
"Raute",""
"Female","6"
"Male","12"
"Sanyasi/Dasnami",""
"Female","711"
"Male","523"
"Sarki",""
"Female","395"
"Male","381"
"Thakuri",""
"Female","159"
"Male","147"
