"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","66"
"Male","39"
"","105"
"Chhetri",""
"Female","1533"
"Male","1432"
"","2965"
"Damai/Dholi",""
"Female","44"
"Male","25"
"","69"
"Gharti/Bhujel",""
"Female","137"
"Male","130"
"","267"
"Jirel",""
"Female","8"
"Male","9"
"","17"
"Kami",""
"Female","151"
"Male","140"
"","291"
"Kanu",""
"Female","9"
"Male","6"
"","15"
"Magar",""
"Female","9"
"Male","10"
"","19"
"Newar",""
"Female","50"
"Male","33"
"","83"
"Others",""
"Female","23"
"Male","24"
"","47"
"Sanyasi/Dasnami",""
"Female","5"
"Male","7"
"","12"
"Sherpa",""
"Female","564"
"Male","529"
"","1093"
"Sunuwar",""
"Female","37"
"Male","26"
"","63"
"Tamang",""
"Female","240"
"Male","248"
"","488"
