"Population by Five Years Age Group","Number"
"0-4",""
"Female","914"
"Male","897"
"10-14",""
"Female","1154"
"Male","1140"
"15-19",""
"Female","1039"
"Male","931"
"20-24",""
"Female","785"
"Male","605"
"25-29",""
"Female","633"
"Male","407"
"30-34",""
"Female","466"
"Male","326"
"35-39",""
"Female","474"
"Male","425"
"40-44",""
"Female","415"
"Male","357"
"45-49",""
"Female","354"
"Male","322"
"50-54",""
"Female","256"
"Male","273"
"55-59",""
"Female","205"
"Male","216"
"5-9",""
"Female","1051"
"Male","1071"
"60-64",""
"Female","218"
"Male","201"
"65-69",""
"Female","162"
"Male","149"
"70-74",""
"Female","100"
"Male","122"
"75+",""
"Female","104"
"Male","111"
