"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","35"
"Male","69"
"","104"
"Bhujel",""
"Female","182"
"Male","136"
"","318"
"Gurung",""
"Female","2319"
"Male","1793"
"","4112"
"Hindi",""
"Female","21"
"Male","30"
"","51"
"Kumal",""
"Female","29"
"Male","29"
"","58"
"Limbu",""
"Female","7"
"Male","4"
"","11"
"Magar",""
"Female","1152"
"Male","921"
"","2073"
"Maithili",""
"Female","17"
"Male","15"
"","32"
"Nepali",""
"Female","20813"
"Male","16069"
"","36882"
"Newar",""
"Female","387"
"Male","332"
"","719"
"Not Reported",""
"Female","12"
"Male","7"
"","19"
"Others",""
"Female","9"
"Male","15"
"","24"
"Rai",""
"Female","19"
"Male","22"
"","41"
"Thakali",""
"Female","11"
"Male","6"
"","17"
"Tharu",""
"Female","4"
"Male","17"
"","21"
"Urdu",""
"Female","221"
"Male","173"
"","394"
