"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","22"
"Male","19"
"Brahman - Hill",""
"Female","6566"
"Male","4802"
"Chhantyal/Chhantel",""
"Female","247"
"Male","193"
"Chhetri",""
"Female","1321"
"Male","912"
"Damai/Dholi",""
"Female","853"
"Male","671"
"Gaine",""
"Female","6"
"Male","9"
"Gharti/Bhujel",""
"Female","332"
"Male","276"
"Gurung",""
"Female","38"
"Male","26"
"Kami",""
"Female","1300"
"Male","932"
"Magar",""
"Female","4862"
"Male","3696"
"Majhi",""
"Female","12"
"Male","12"
"Musalman",""
"Female","23"
"Male","21"
"Newar",""
"Female","18"
"Male","12"
"Others",""
"Female","21"
"Male","22"
"Sanyasi/Dasnami",""
"Female","155"
"Male","116"
"Sarki",""
"Female","2126"
"Male","1638"
"Tamang",""
"Female","7"
"Male","10"
"Thakuri",""
"Female","461"
"Male","309"
